Date,Volume,SP_close,DJ_close,EG_close,USDI_Price,EU_Price,SF_Price,PLT_Price,PLD_Price,USO_Close,GDX_Close,RHO_PRICE,Close
2017-09-07,10219700,246.869995,21784.7793,10.55,91.642,1.2023,41617,1021.75,955.1,10.03,25.49,1155,128.130005
2017-09-08,9020000,246.580002,21797.78906,10.3,91.326,1.2035,41570,1010.85,936.95,9.73,25.24,1155,127.970001
2017-09-11,9126600,249.210007,22057.36914,9.65,91.853,1.1953,41164,992.6,937.3,9.82,24.559999,1160,126.190002
2017-09-12,8349000,250.050003,22118.85938,9.85,91.856,1.1967,41216,990.05,949.05,9.87,24.67,1160,126.559998
2017-09-13,8491000,250.169998,22158.17969,11.45,92.508,1.1886,41110,982.55,939.35,10.07,24.219999,1160,125.610001
2017-09-14,5330700,250.089996,22203.48047,11.9,92.112,1.1919,41140,989.85,919.95,10.13,24.370001,1160,126.160004
2017-09-15,8375100,249.190002,22268.33984,11.6,91.863,1.1943,40814,970.75,919.33,10.2,24.129999,1160,125.529999
2017-09-18,8859800,249.720001,22331.34961,11.6,91.853,1.1954,39764,964.4,932.6,10.17,23.73,1160,124.360001
2017-09-19,5826500,249.970001,22370.80078,11.25,91.561,1.1994,40062,953.75,905.7,10.11,23.85,1160,124.620003
2017-09-20,11415400,250.059998,22412.58984,11.05,92.296,1.1893,40247,941.75,911.55,10.24,23.5,1160,123.620003
2017-09-21,7757900,249.389999,22359.23047,11.2,92.049,1.1941,39833,940.25,912.95,10.25,23.209999,1160,122.68
2017-09-22,6011900,249.440002,22349.58984,11.3,91.967,1.1954,39727,933.45,920.5,10.24,23.469999,1160,123.239998
2017-09-25,10257200,248.929993,22296.08984,11.75,92.441,1.1848,40276,944.45,910.35,10.55,23.83,1160,124.529999
2017-09-26,8673600,249.080002,22284.32031,11.3,92.781,1.1793,39857,928.45,914.7,10.49,23.35,1160,123.139999
2017-09-27,6903900,250.050003,22340.71094,11.1,93.171,1.1744,39732,924.55,925.2,10.52,22.99,1160,121.980003
2017-09-28,5968200,250.350006,22381.19922,11.5,92.932,1.1786,39750,926.55,929.4,10.43,23.16,1170,122.209999
2017-09-29,10208000,251.229996,22405.08984,11,92.883,1.1814,39457,915.3,935.5,10.43,22.959999,0,121.580002
2017-10-03,3728700,252.860001,22641.66992,11.05,93.414,1.1744,39328,916.35,918.15,10.18,23.280001,1185,120.830002
2017-10-04,6475200,253.160004,22661.64063,11.25,93.284,1.176,39086,916.8,923.83,10.08,23.42,1200,121.169998
2017-10-05,6205400,254.660004,22775.39063,11.1,93.803,1.1711,39172,917.45,940.17,10.25,23.219999,1220,120.519997
2017-10-06,10013300,254.369995,22773.66992,11.3,93.641,1.1734,39596,918.95,920.62,9.97,23.59,1220,121.089996
2017-10-09,5264100,253.949997,22761.07031,11.75,93.505,1.1741,39940,919.4,929,10,23.74,1230,122.080002
2017-10-10,9315500,254.619995,22830.67969,11.35,93.101,1.1806,40327,935.95,936.67,10.28,23.57,1240,122.400002
2017-10-11,5649400,255.020004,22872.89063,11.3,92.825,1.1859,40129,937.2,960.92,10.36,23.799999,1260,122.790001
2017-10-12,3037600,254.639999,22841.00977,11.25,92.898,1.183,40352,941.3,970.85,10.23,23.719999,1300,122.889999
2017-10-13,6820300,254.949997,22871.7207,11.3,92.935,1.1823,40399,948.8,985.92,10.37,23.84,1315,123.82
2017-10-16,8202000,255.289993,22956.96094,10.9,93.161,1.1797,40341,935.15,970.92,10.46,23.459999,1360,122.970001
2017-10-17,7041300,255.470001,22997.43945,11,93.35,1.1766,39769,937.1,977.7,10.49,23.42,1425,122.129997
2017-10-18,3666400,255.720001,23157.59961,10.65,93.228,1.1787,39767,924.15,955.8,10.48,23.33,1475,121.669998
2017-10-19,5567300,255.789993,23163.03906,10.9,93.12,1.1852,39846,927.4,957.85,10.35,23.440001,1525,122.389999
2017-10-20,8481100,257.109985,23328.63086,10.85,93.579,1.1785,39877,926,970.77,10.43,23.23,1575,121.610001
2017-10-23,5069700,256.109985,23273.96094,7.75,93.814,1.1749,39910,929.35,954.25,10.42,23.139999,1590,121.800003
2017-10-24,5114100,256.559998,23441.75977,7.4,93.661,1.1761,39722,924.65,960.08,10.54,22.950001,1650,121.330002
2017-10-25,4282400,255.289993,23329.46094,6.5,93.577,1.1813,39484,928.15,961.47,10.48,22.83,1650,121.349998
2017-10-26,6438800,255.619995,23400.85938,6.55,94.509,1.165,39272,919.8,965.15,10.57,22.43,1635,120.330002
2017-10-27,6664200,257.709991,23434.18945,6.45,94.822,1.161,39149,918.4,966.33,10.84,22.57,1550,120.900002
2017-10-30,5119200,256.75,23348.74023,6.8,94.454,1.1651,39265,923.55,963.9,10.87,22.76,1525,121.129997
2017-10-31,3910500,257.149994,23377.24023,6.25,94.429,1.1646,38818,921.1,978.65,10.93,22.48,0,120.669998
2017-11-01,4647800,257.48999,23435.00977,6.25,94.709,1.1619,39700,934.8,999.9,10.9,22.48,1480,121.110001
2017-11-02,5369500,257.589996,23516.25977,6.25,94.588,1.1658,39614,929,995.25,10.99,22.58,1450,121.190002
2017-11-03,6330600,258.450012,23539.18945,6.25,94.858,1.1609,39048,922.65,996.62,11.18,22.43,1410,120.620003
2017-11-06,6953800,258.850006,23548.41992,6.3,94.657,1.161,39895,935.05,997.8,11.51,22.91,1380,121.650002
2017-11-07,4165900,258.670013,23557.23047,6.1,94.8,1.1586,39594,927.05,994.8,11.49,22.73,1355,121.209999
2017-11-08,5565200,259.109985,23563.35938,6.05,94.768,1.1595,39888,933.8,1013.62,11.41,22.889999,1330,121.629997
2017-11-09,6072400,258.170013,23461.93945,6.4,94.352,1.1642,39641,940.25,1010.15,11.46,22.809999,1300,122.129997
2017-11-10,7116200,258.089996,23422.21094,6.05,94.278,1.1665,39507,931.15,992.9,11.42,22.52,1300,121.129997
2017-11-13,6249300,258.329987,23439.69922,5.85,94.388,1.1667,39912,933.35,988.5,11.38,22.559999,1350,121.309998
2017-11-14,6189000,257.730011,23409.4707,5.85,93.723,1.1798,39838,929.15,987.85,11.13,22.59,1425,121.559998
2017-11-15,4984800,256.440002,23271.2793,5.75,93.726,1.1792,39711,933.75,984.85,11.09,22.65,1450,121.410004
2017-11-16,2796500,258.619995,23458.35938,6,93.854,1.177,39799,934.95,987.98,11.07,22.6,1475,121.400002
2017-11-17,10614000,257.859985,23358.24023,6.3,93.575,1.1795,40013,953.95,993.1,11.35,22.790001,1515,122.860001
2017-11-20,8356700,258.299988,23430.33008,6.1,93.997,1.1732,39261,929.3,987.25,11.28,22.540001,1515,121.309998
2017-11-21,4956500,259.98999,23590.83008,5.9,93.877,1.1738,39300,936.85,997.83,11.4,22.719999,1500,121.510002
2017-11-22,5211800,259.76001,23526.17969,6.25,93.135,1.1822,39569,939.45,1001.08,11.6,22.92,1500,122.629997
2017-11-24,1779700,260.359985,23557.99023,6.15,92.707,1.193,39241,945.05,994.3,11.79,22.83,1500,122.32
2017-11-27,4961200,260.230011,23580.7793,5.9,92.825,1.1898,39266,949.2,1001.22,11.59,23.049999,1500,122.830002
2017-11-28,5603100,262.869995,23836.71094,5.95,93.213,1.1841,38619,951.65,1022.42,11.58,22.93,1500,122.809998
2017-11-29,6138900,262.709991,23940.67969,5.75,93.107,1.1847,37948,942.7,1012.38,11.47,22.5,1500,122.040001
2017-11-30,7936300,265.01001,24272.34961,5.65,93.002,1.1904,37532,943.8,1005.72,11.47,22.469999,0,121.099998
2017-12-01,13080100,264.459991,24231.58984,5.8,92.841,1.1891,37582,941.2,1015.65,11.67,22.49,1530,121.589996
